Voyage_ID,Carrier,Vessel_Name,Vessel_Type,Origin_Port,Destination_Port,Distance_NM,Scheduled_Transit_Days,Departure_Delay_Hours,Average_Speed_Knots,Vessel_Age,Cargo_Load_Percentage,Port_Congestion_Index,Weather_Severity,Fuel_Price_USD,Historical_Route_Delay,Season,Customs_Clearance_Risk,Actual_Delay_Hours,Late_Arrival
V00001,MSC,Danielle Voyager,Container,Hamburg,Los Angeles,2179,5.7,8.5,22.7,3,75.4,3.2,0.9,543.06,7.2,Summer,Low,8.3,0
V00002,Maersk,Angel Voyager,Bulk Carrier,Mumbai,Busan,10154,33.2,13.6,22.4,25,88.3,69.8,3.4,512.19,6.6,Summer,Medium,22.3,1
V00003,Evergreen,Joshua Voyager,Container,Shanghai,Antwerp,6135,16.5,13.9,21.7,24,67.6,12.5,9.2,481.52,12.6,Spring,Medium,28.1,1
V00004,ONE,Jeffrey Voyager,Oil Tanker,Colombo,Los Angeles,11334,38.3,8.7,15.5,3,91.3,86.6,3.8,631.36,5.2,Spring,Low,22.4,1
V00005,Evergreen,Jill Voyager,Bulk Carrier,Dubai,Busan,4874,12.5,7.2,20.2,3,76.5,17.1,7.3,515.36,0.0,Summer,High,14.3,1
V00006,COSCO,Erica Voyager,Oil Tanker,Mumbai,Los Angeles,4252,10.3,3.2,21.7,13,56.1,21.1,9.4,800.55,1.9,Autumn,Low,21.5,1
V00007,Evergreen,Patricia Voyager,Bulk Carrier,Antwerp,Busan,4839,17.4,1.5,20.9,18,55.8,58.5,9.0,609.76,0.0,Winter,Low,26.6,1
V00008,Hapag-Lloyd,Christopher Voyager,Bulk Carrier,Mumbai,Antwerp,2296,8.2,4.9,13.9,22,65.3,6.4,3.8,848.45,8.4,Spring,Low,11.4,0
V00009,ONE,Robert Voyager,Container,Shanghai,Colombo,6073,22.3,3.3,17.2,15,40.2,72.2,7.2,838.76,8.7,Autumn,High,25.0,1
V00010,CMA CGM,Anthony Voyager,Container,Hamburg,Colombo,6626,16.5,7.9,18.5,25,95.3,91.8,6.0,645.44,4.4,Summer,Low,27.6,1
V00011,MSC,Jeffery Voyager,Oil Tanker,Hamburg,Los Angeles,9795,22.3,3.0,13.0,16,89.0,97.8,5.3,500.3,19.1,Spring,Low,31.0,1
V00012,Yang Ming,William Voyager,Bulk Carrier,Hamburg,Colombo,9335,23.3,0.7,20.3,23,58.7,99.5,6.5,625.24,12.9,Winter,Low,26.9,1
V00013,Yang Ming,Anthony Voyager,Container,Los Angeles,Hamburg,844,2.3,7.0,14.8,8,40.4,70.8,0.6,476.96,0.0,Spring,Medium,10.5,0
V00014,Maersk,James Voyager,Oil Tanker,Shanghai,Colombo,11460,33.0,7.0,18.5,24,96.1,57.1,4.7,763.85,12.4,Summer,Medium,24.8,1
V00015,COSCO,Debra Voyager,Bulk Carrier,Shanghai,Rotterdam,7439,22.4,5.4,22.4,2,80.4,98.4,1.0,611.05,6.2,Winter,Medium,13.9,1
V00016,Evergreen,Amy Voyager,Container,Los Angeles,Hamburg,7850,28.2,2.4,14.2,15,55.0,92.3,4.4,794.54,5.2,Summer,High,25.0,1
V00017,MSC,Jeffrey Voyager,Container,Mumbai,Singapore,3224,9.7,7.7,17.8,28,64.1,5.9,3.8,844.12,0.0,Spring,Low,13.1,1
V00018,ONE,Bridget Voyager,LNG Carrier,Hamburg,Antwerp,3611,11.7,4.1,23.6,19,84.1,6.1,3.1,470.06,3.9,Winter,Low,9.7,0
V00019,Yang Ming,Lisa Voyager,Bulk Carrier,Singapore,Colombo,1622,4.4,11.2,20.1,8,64.2,94.2,5.7,681.57,13.6,Spring,Low,29.9,1
V00020,Maersk,Adam Voyager,Container,Busan,Colombo,3846,10.0,4.5,15.8,9,63.7,67.2,3.0,576.47,10.0,Autumn,Medium,21.9,1
V00021,MSC,Linda Voyager,Container,Antwerp,Shanghai,3992,11.4,3.6,13.6,12,92.9,87.9,3.7,513.1,6.9,Spring,High,20.0,1
V00022,ONE,Helen Voyager,Container,Mumbai,Hamburg,4833,17.7,0.0,13.3,18,49.3,28.2,2.1,587.15,12.9,Spring,Low,15.9,1
V00023,ONE,Matthew Voyager,LNG Carrier,Hamburg,Singapore,7439,17.9,5.6,12.5,11,86.3,63.7,2.6,746.49,14.0,Spring,High,21.7,1
